LAT,LON,YEAR,MO,DY,T2M_RANGE,ALLSKY_SFC_SW_DWN
33.42011,-112.04149,2000,7,16,14.97,7.11
33.42011,-112.04149,2000,7,17,17.27,8.1
33.42011,-112.04149,2000,7,18,18.86,8.19
33.42011,-112.04149,2000,7,19,18.04,8.15
33.42011,-112.04149,2000,7,20,18.22,7.6
33.42011,-112.04149,2000,7,21,12.85,6.9
33.42011,-112.04149,2000,7,22,15.76,7.13
33.42011,-112.04149,2000,7,23,15.87,7.16
33.42011,-112.04149,2000,7,24,15.61,7.09
33.42011,-112.04149,2000,7,25,17.32,7.72
33.42011,-112.04149,2000,7,26,15.05,7.02
33.42011,-112.04149,2000,7,27,16.25,7.19
33.42011,-112.04149,2000,7,28,14.84,6.78
33.42011,-112.04149,2000,7,29,16.75,7.13
33.42011,-112.04149,2000,7,30,14.97,6.92
33.42011,-112.04149,2000,7,31,14.35,6.99
33.42011,-112.04149,2000,8,1,15.85,6.73
33.42011,-112.04149,2000,8,2,14.01,7.01
33.42011,-112.04149,2000,8,3,15.59,6.56
33.42011,-112.04149,2000,8,4,15.5,6.23
33.42011,-112.04149,2000,8,5,16.4,6.64
33.42011,-112.04149,2000,8,6,13.76,6.03
33.42011,-112.04149,2000,8,7,11.54,6.77
33.42011,-112.04149,2000,8,8,12.75,5.21
33.42011,-112.04149,2000,8,9,15.02,7.34
33.42011,-112.04149,2000,8,10,15.22,7.21
33.42011,-112.04149,2000,8,11,10.6,6.59
33.42011,-112.04149,2000,8,12,12.33,6.28
33.42011,-112.04149,2000,8,13,13,4.07
33.42011,-112.04149,2000,8,14,14.7,6.31
33.42011,-112.04149,2000,8,15,13.41,6.35
33.42011,-112.04149,2000,8,16,13.36,6.62
33.42011,-112.04149,2000,8,17,9.42,6.43
33.42011,-112.04149,2000,8,18,7.62,6.43
33.42011,-112.04149,2000,8,19,15.16,6.58
33.42011,-112.04149,2000,8,20,15.57,6.66
33.42011,-112.04149,2000,8,21,16.7,6.86
33.42011,-112.04149,2000,8,22,8.96,5.61
33.42011,-112.04149,2000,8,23,10.98,5.74
33.42011,-112.04149,2000,8,24,15,5.99
33.42011,-112.04149,2000,8,25,14.36,6.04
33.42011,-112.04149,2000,8,26,12.99,5.72
33.42011,-112.04149,2000,8,27,9.79,1.8
33.42011,-112.04149,2000,8,28,9.05,3.86
33.42011,-112.04149,2000,8,29,6.41,2.2
33.42011,-112.04149,2000,8,30,11.51,5.33
33.42011,-112.04149,2000,8,31,14.4,6.05
33.42011,-112.04149,2000,9,1,13.84,3.61
33.42011,-112.04149,2000,9,2,15.28,7.23
33.42011,-112.04149,2000,9,3,15.85,6.44
33.42011,-112.04149,2000,9,4,17.88,7.1
33.42011,-112.04149,2000,9,5,16.72,7.15
33.42011,-112.04149,2000,9,6,10.75,4.34
33.42011,-112.04149,2000,9,7,18.08,4.96
33.42011,-112.04149,2000,9,8,15.78,6.32
33.42011,-112.04149,2000,9,9,17.39,6.82
33.42011,-112.04149,2000,9,10,15.82,6.01
33.42011,-112.04149,2000,9,11,14.16,6.36
33.42011,-112.04149,2000,9,12,17.51,6.72
33.42011,-112.04149,2000,9,13,19.15,6.16
33.42011,-112.04149,2000,9,14,18.69,6.23
33.42011,-112.04149,2000,9,15,17.45,6.04
33.42011,-112.04149,2000,9,16,17.3,5.9
33.42011,-112.04149,2000,9,17,14.66,6.29
33.42011,-112.04149,2000,9,18,13.71,5.43
33.42011,-112.04149,2000,9,19,16.52,5.93
33.42011,-112.04149,2000,9,20,16.51,5.75
33.42011,-112.04149,2000,9,21,13.2,5.14
33.42011,-112.04149,2000,9,22,13.99,5.27
33.42011,-112.04149,2000,9,23,11.49,4.84
33.42011,-112.04149,2000,9,24,15.78,5.28
33.42011,-112.04149,2000,9,25,21.74,5.07
33.42011,-112.04149,2000,9,26,14.14,4.88
33.42011,-112.04149,2000,9,27,15.76,4.57
33.42011,-112.04149,2000,9,28,15.76,4.57
33.42011,-112.04149,2000,9,29,16.48,4.57
33.42011,-112.04149,2000,9,30,17.26,4.68
33.42011,-112.04149,2000,10,1,17.04,5.63
33.42011,-112.04149,2000,10,2,15.32,5.21
33.42011,-112.04149,2000,10,3,13.78,5.16
33.42011,-112.04149,2000,10,4,11.46,5.31
33.42011,-112.04149,2000,10,5,15.49,5.36
33.42011,-112.04149,2000,10,6,15.97,5.29
33.42011,-112.04149,2000,10,7,17.3,4.35
33.42011,-112.04149,2000,10,8,13.82,4.69
33.42011,-112.04149,2000,10,9,10.71,3.89
33.42011,-112.04149,2000,10,10,9.99,4.66
33.42011,-112.04149,2000,10,11,11.62,4.48
33.42011,-112.04149,2000,10,12,13.15,4.99
33.42011,-112.04149,2000,10,13,14.83,5.28
33.42011,-112.04149,2000,10,14,14.41,5.04
33.42011,-112.04149,2000,10,15,15.91,4.87
33.42011,-112.04149,2000,10,16,16.51,4.62
33.42011,-112.04149,2000,10,17,18.05,4.33
33.42011,-112.04149,2000,10,18,12.8,2.89
33.42011,-112.04149,2000,10,19,14.11,2.73
33.42011,-112.04149,2000,10,20,14.47,4.54
33.42011,-112.04149,2000,10,21,8.72,3.62
33.42011,-112.04149,2000,10,22,4.94,2.15
33.42011,-112.04149,2000,10,23,6.85,2.93
33.42011,-112.04149,2000,10,24,10.54,3.85
33.42011,-112.04149,2000,10,25,12.15,4.22
33.42011,-112.04149,2000,10,26,13.22,3.86
33.42011,-112.04149,2000,10,27,6.54,2.22
33.42011,-112.04149,2000,10,28,9.78,3.24
33.42011,-112.04149,2000,10,29,13.22,3.32
33.42011,-112.04149,2000,10,30,11.13,2.67
33.42011,-112.04149,2000,10,31,12.3,4.08
33.42011,-112.04149,2000,11,1,13.52,4.61
33.42011,-112.04149,2000,11,2,10.52,3.55
33.42011,-112.04149,2000,11,3,12.13,3.96
33.42011,-112.04149,2000,11,4,9.78,2.59
33.42011,-112.04149,2000,11,5,11.02,3.97
33.42011,-112.04149,2000,11,6,11.06,2.38
